emotion,tweet
worry,guess im staying home tonight...no movie-ing for me
sad,went to the cd store to search for the cd. But
worry,reminds me of the weather a month ago it was horrible I hope all is well hugs
sad,I miss my mom.. &quot;May angels lead you in&quot;
love,there's really no android twitter app of Tweetie's calibre
anger,on jacksonville beach walking in the cold Ass water but have to work in the morning ily &lt;('-')&gt;
neutral,"No, it's not..."
sad,i feel the same way every day
sad,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
neutral,well i just got home and its not on till tmw at 530p but with comcast its on right now but i didnt miss it
sad,Sleppytime. Really missing my godfather right now. Love you Wayne
sad,So have a headache right now and it sucks
worry,hope ya sleepin well guys still here
excited,"i should be finished.... but i'm not. color drawing, here i come."
sad,"Lakers, baby Lakers!! I'll miss the game tmwr. I have to work you'll have to keep me posted please"
sad,"comfort food of the day: pan mee. though, it didnt taste any good.."
worry,damn being drunk and hot sucks
sad,misses my baby.
worry,is not sleeping because he has paperwork to do.
worry,Showered in ice-cold water. Sweating now. Means one thing: I'm sick
worry,"midnight cry.. wish the person I wanted, wanted me right now"
neutral,I'ma need you to follow me real quick cause I can't DM you
sad,I'm poorly and can't sleep
worry,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.
worry,"And these poor, unfortunate souls don't appear to have any pants at all... ? http://blip.fm/~78qvz"
worry,If I told you how often I wash my hair you would never speak to me again
worry,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman."
worry,http://twitpic.com/662vk - WHY DO U LOT MOCK ME!!!
worry,didnt say goodnight to you
anger,I am not a pussy! damnit! [sending you an e-mail right now btw]
sad,has work tom.
neutral,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.
neutral,Can't sleep and nothings on tv!!
love,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
neutral,oh ... you've been superseeded? not good enough
sad,today we say goodbye to the second good friend in a week from dmp but at least the sun is shinning and I'm definately NOT working this pm
anger,fuckin'm transtelecom
worry,I met a stranger just 10 min ago. He was stalking me at the store
excited,tee we beefin....what was u supposed to do before leavin????
sad,Sometimes the things you say hurt the ones you love most unintentionally. And you can never ever take it back or fix it.
sad,that sucks!
neutral,IIII know!!! and mean
sad,Having Fever dont feel to work
worry,"Taking Horse Pills, hoping I can get some sleep tonight"
neutral,PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one
sad,missing days can't pass quick enough
anger,Hey! That's my school! I hate that place.
sad,"Working from home today, my back is killing me Doctor and then physio after later today."
neutral,back to work.. with no distractions..
happy,"demi, just say hi to me and it`s enough. just replay to me please love you so much!!!"
neutral,awwww i never noticed this http://bit.ly/RConp
neutral,"that sucks well state starts tomorrow so im headin 2 bed, nitey nite"
worry,"Looks like it's going to be too nice to work today, how annoying as I have no choice"
neutral,did you guys keep a set list? I forgot to ask for one xx
neutral,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic"
worry,is desperatly hoping my dad takes me to vanessa's game
worry,hi! Fuck your job!
sad,Missing you all deeply
neutral,"the time you go to bed, i have to get up to go to work"
happy,"big now!!! Vanessa is going to be 3 in September, its going by so fast! its hard cuz Im workin so much, I miss out on alot"
sad,"sniff sniff take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
neutral,"Lucky, now I want to teleport"
worry,Somebody please save the polar bears!
worry,"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. I feel awful. =(("
sad,I don't want her to leave..
relief,Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.
happy,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
sad,wut do i do now????
anger,Working But it's Fridaaaayyyyy
worry,At the Grove for 'Drag Me to Hell.' I hope that it doesn't suck.
worry,so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late
sad,"lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
excited,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!! Ugh...oh well. Might not eat.
sad,I wish I was there
sad,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
neutral,FC is finally up again. it's about time. i hate that this keeps happening
neutral,seriously bored without anyone to talk to... but not tired enough for sleep
sad,morning again! I hate mornings. So offensive!
neutral,still!! give your computer a break omg
sad,bed bed bed do you never answer texts anymore? I thought of you the other day and sent one but never heard back. Sad day
neutral,where u at?
sad,waah. We're no longer your peeps.
sad,LOL wow dawg doesn't sound like you're playing! I feel bad now haha
excited,Extremly deep
happy,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
excited,one week till exam block
neutral,I'm not at home with my cats right now!
worry,hoping i didn't fail english. that would just be sad
worry,Know what would be great? For my shoulder to stop hurting so I can sleep normal again. I just want/need a few solid hours of good sleep.
neutral,Leno's last show was tonight. I like him better than Conan.
sad,I'm sorry about your bad driving experiences.
neutral,i don't have any of that
sad,Already misses 
anger,"plan may changes , nooooooo"
anger,my sister is a douchebag
excited,there's relisting fees when you don't complete a sale? that sucks!
neutral,Random has an a
worry,I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat
sad,Gutted that the bathroom still isn't free- early work isn't going to happen . And I need the loo!
neutral,july... too long
worry,awww I wish I could have been there I'm stuck here about to jab out my eyes with knitting needles
excited,Me too. Wonder if Mnet will show it...
neutral,Wearing glasses gives me a headache.
excited,stop talkin about food haha fill like sum nw hha hows your day goin or starting
worry,"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!"
sad,thank you (: cant wait!!!! ummm btw ima crash still sick
sad,"First my work computer, now my home laptop is fucked."
worry,#liesgirlstell a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .
worry,#beer #friday #melbourne #cbd #mtub #mini #cmon Thirsty and lonely ... you buggers are making me feel like a scotty no mates
worry,I know. We came back from 22 down in the 1st just to lose the lead in the last 6 minutes.
worry,gosh... summer vacation is almost over here at the philippines.. kinda sad.. i wonder what section will i be in?
neutral,"But is on page 6 at Ms Twitterworld, only 26 votes"
worry,I'm bummed that I can't wear my sweet Nike kicks to work.
worry,- your twitter is broken
neutral,sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!
sad,It's depressing I'm stuck inside all day
worry,I even saw the news feeds of the archie website. But can't believe he'd choose veronica. I'm disappointed
sad,i hate being sick. i miss and 
neutral,im eating sliders at barjohnnys! (theyre pork tho not beef still on the search...)
happy,Getting ready for school - second maths test today also its my last day of 3rd year!! Next week i will officially be in 4th year
sad,"Woke Up,I Wanna Stay In My bed"
worry,depressed that i wasn't included in the morcom gardens quiz on facebook
worry,"yeah, its still totally in the high 60s here. soooo notlooking forward to aug and sept up here"
sad,Upsidedown tomato plants died!
worry,Oh come on!!! You get next week off and I get next week full of exams!
neutral,"friday here at last, not much fun when your skint though"
worry,"i know, don't tell anyone i dont know if my dad told the famz yet. i think i'm taking it online."
sad,Caan't Iht Be Earlier? ICant Wait That Long. Ahar. (:
happy,"Friday yay!! And a bonus, don't have to drive to Wales tonight. Athough will miss kitten cuddles and going for a ride"
worry,My children have promised me birthday brekkie in bed. There's a problem with that in that there's bugger all food in the house
worry,woops! I only just realized my DMs to you are not going through
neutral,I don't think I will be able to get out of bed tomorrow morning we will seeeee!
excited,I cant use my blackberry today. This sucks.
excited,Q: what studio created 'Open Season'? should google it or look at the dvd downstairs but feeling lazy
neutral,the times they are a changing
sad,why do you hate me!?
anger,time for tv in bed.Then spending all day catching up on studying i hate online summer classes
